Host,PortID,MAC/ether,PropertyTag
219_A022pi,A022-08-B3-1,b8:27:eb:e6:52:5f,N105154
,,,
219_F030pi,F030-02-B3-1,b8:27:eb:7c:ef:fd,N105155
219_F031pi,F031-04-C3-1,b8:27:eb:d3:2f:94,N105156
219_F032pi,F032-05-C3-1,b8:27:eb:ad:37:90,N116599
219_F033pi,F033-03-C3-1,b8:27:eb:91:a2:86,N116596
219_F034pi,F034-04-C3-1,b8:27:eb:7c:b9:bc,N116598
219_F036pi,F036-10-C3-1,b8:27:eb:fe:46:1b,N116597
,,,
219_G021pi,G021-01-B3-1,b8:27:eb:a2:a8:bf,N116592
219_G022pi,G022-01-B3-1,b8:27:eb:38:5f:1f,N116591
219_G023pi,G023-12-B3-1,b8:27:eb:a2:3e:04,N116594
219_G024pi,G024-06-B1-1,b8:27:eb:4d:ca:79,N116590
219_G026pi,G026-01-B3-2,b8:27:eb:07:00:62,N116589
219_G027pi,G027-06-B3-1,b8:27:eb:ae:2a:d8,N116593
219_G032pi,G032.1-03-C3-1,b8:27:eb:b5:73:d3,N116595
,,,
220_A08pi,A08-01-A-1,b8:27:eb:1b:57:b8,N116582
220_A12pi,A12-02-1,b8:27:eb:da:15:77,N116581
220_A16pi,A16-06-A-1,b8:27:eb:e2:96:b1,N116580
220_A58pi,B61-06-A-1,b8:27:eb:99:9c:71,N116585
,,,
220_B05pi,B05-02-A-2,b8:27:eb:d6:e9:8d,N116584
220_B07pi,B07-03-A-1,b8:27:eb:70:d8:e4,N116583
220_B13pi,B13-02-A-1,b8:27:eb:d0:f3:ce,N116587
,,,
220_C03pi,,,N116579
220_C05pi,,,N116578
,,,
221_A39,A39-02-A-1,b8:27:eb:1d:e3:d6,N116588
,,,
219_106pi,106-02-A-1-1,b8:27:eb:04:d3:d5,N116586
